Page,Element_Type,Confidence,X_Min,Y_Min,X_Max,Y_Max,Width,Height,Area,Reading_Order
1,Text,0.568,186,139,564,168,378,29,10962,1
1,Picture,0.906,255,187,469,402,214,215,46010,2
1,Title,0.697,91,448,662,522,571,74,42254,3
1,Text,0.61,63,813,293,890,230,77,17710,4
1,Text,0.806,438,778,652,902,214,124,26536,5
2,Section-header,0.784,289,100,469,116,180,16,2880,1
2,Section-header,0.879,107,164,147,178,40,14,560,2
2,Text,0.953,106,193,627,259,521,66,34386,3
2,Section-header,0.832,107,311,156,325,49,14,686,4
2,Text,0.83,107,340,367,353,260,13,3380,5
2,List-item,0.794,76,370,603,413,527,43,22661,6
2,List-item,0.866,76,430,617,475,541,45,24345,7
2,List-item,0.854,76,493,503,506,427,13,5551,8
2,List-item,0.939,76,557,594,601,518,44,22792,9
3,Section-header,0.698,338,95,394,111,56,16,896,1
3,Table,0.963,73,159,657,906,584,747,436248,2
4,Section-header,0.689,310,92,420,114,110,22,2420,1
4,Text,0.919,81,155,641,195,560,40,22400,2
4,Section-header,0.643,81,222,161,241,80,19,1520,3
4,Text,0.96,81,275,633,377,552,102,56304,4
4,Section-header,0.687,81,393,220,409,139,16,2224,5
4,Text,0.966,80,425,650,527,570,102,58140,6
4,Section-header,0.859,81,544,131,562,50,18,900,7
4,Text,0.968,80,579,651,697,571,118,67378,8
4,Section-header,0.519,85,729,129,749,44,20,880,9
4,Text,0.714,81,750,179,767,98,17,1666,10
4,Text,0.734,79,786,290,854,211,68,14348,11
4,Text,0.68,94,871,349,889,255,18,4590,12
5,Text,0.912,92,99,543,996,451,897,404547,1
6,Text,0.916,83,96,539,299,456,203,92568,1
6,Section-header,0.736,81,318,136,335,55,17,935,2
6,Text,0.923,90,345,563,681,473,336,158928,3
7,Section-header,0.657,309,93,421,114,112,21,2352,1
7,Text,0.926,81,155,641,195,560,40,22400,2
7,Section-header,0.683,81,220,167,239,86,19,1634,3
7,Text,0.952,80,255,648,323,568,68,38624,4
7,Text,0.945,81,338,646,407,565,69,38985,5
7,Section-header,0.7,81,424,144,443,63,19,1197,6
7,Text,0.86,80,459,640,528,560,69,38640,7
7,Text,0.939,80,543,632,596,552,53,29256,8
7,Text,0.613,82,642,417,995,335,353,118255,9
8,Text,0.706,79,94,576,995,497,901,447797,1
9,Text,0.901,80,94,585,837,505,743,375215,1
10,Section-header,0.573,89,97,142,110,53,13,689,1
10,Text,0.631,91,121,516,520,425,399,169575,2
11,Section-header,0.63,309,94,421,115,112,21,2352,1
11,Text,0.664,81,177,269,196,188,19,3572,2
11,Section-header,0.806,81,221,167,241,86,20,1720,3
11,Text,0.975,81,256,651,324,570,68,38760,4
11,List-item,0.968,103,339,628,392,525,53,27825,5
11,List-item,0.976,103,389,645,426,542,37,20054,6
11,List-item,0.961,102,424,636,460,534,36,19224,7
11,Section-header,0.861,81,491,144,512,63,21,1323,8
11,Text,0.969,81,528,641,579,560,51,28560,9
11,Text,0.952,81,595,593,631,512,36,18432,10
11,Text,0.975,81,645,630,698,549,53,29097,11
11,Section-header,0.742,81,713,124,733,43,20,860,12
11,Text,0.633,81,733,179,751,98,18,1764,13
11,Text,0.903,81,769,439,993,358,224,80192,14
12,Text,0.945,80,97,615,997,535,900,481500,1
13,Text,0.941,80,90,614,992,534,902,481668,1
14,Section-header,0.755,88,141,142,155,54,14,756,1
15,Section-header,0.611,334,94,451,116,117,22,2574,1
15,Text,0.881,105,159,673,203,568,44,24992,2
15,Section-header,0.817,105,229,192,249,87,20,1740,3
15,Text,0.958,105,265,676,339,571,74,42254,4
15,Text,0.955,105,355,670,446,565,91,51415,5
15,Text,0.941,105,498,670,554,565,56,31640,6
15,Text,0.947,105,570,661,607,556,37,20572,7
15,Text,0.959,105,624,655,679,550,55,30250,8
15,Section-header,0.8,109,695,156,718,47,23,1081,9
15,Text,0.79,106,719,207,735,101,16,1616,10
15,Text,0.782,106,755,443,936,337,181,60997,11
15,Text,0.613,118,958,345,993,227,35,7945,12
16,Text,0.929,104,94,532,756,428,662,283336,1
17,Section-header,0.738,111,95,169,112,58,17,986,1
17,Text,0.595,111,144,674,444,563,300,168900,2
18,Section-header,0.656,333,94,452,116,119,22,2618,1
18,Text,0.958,104,140,674,183,570,43,24510,2
18,Section-header,0.837,105,211,188,230,83,19,1577,3
18,Text,0.967,104,238,683,364,579,126,72954,4
18,Section-header,0.749,105,391,162,409,57,18,1026,5
18,Text,0.859,105,423,660,461,555,38,21090,6
18,Text,0.798,105,460,637,497,532,37,19684,7
18,Text,0.938,105,500,675,555,570,55,31350,8
18,Text,0.661,105,600,207,616,102,16,1632,9
18,Text,0.864,107,636,421,1005,314,369,115866,10
19,Text,0.935,117,93,417,996,300,903,270900,1
20,Text,0.926,104,96,292,203,188,107,20116,1
20,Section-header,0.577,105,222,159,238,54,16,864,2
20,Text,0.929,106,241,679,583,573,342,195966,3
21,Section-header,0.761,309,95,421,114,112,19,2128,1
21,Text,0.758,82,156,642,171,560,15,8400,2
21,Section-header,0.843,81,199,166,217,85,18,1530,3
21,Text,0.979,81,219,642,365,561,146,81906,4
21,Section-header,0.863,81,392,139,409,58,17,986,5
21,Text,0.926,82,411,642,448,560,37,20720,6
